episode_reward_max,episode_reward_min,episode_reward_mean,episode_len_mean,episodes_this_iter,timesteps_this_iter,done,timesteps_total,episodes_total,training_iteration,experiment_id,date,timestamp,time_this_iter_s,time_total_s,pid,hostname,node_ip,time_since_restore,timesteps_since_restore,iterations_since_restore,num_healthy_workers,trial_id,experiment_tag,info/num_steps_trained,info/num_steps_sampled,info/sample_time_ms,info/load_time_ms,info/grad_time_ms,info/update_time_ms,perf/cpu_util_percent,perf/ram_util_percent,info/learner/default_policy/cur_kl_coeff,info/learner/default_policy/cur_lr,info/learner/default_policy/total_loss,info/learner/default_policy/policy_loss,info/learner/default_policy/vf_loss,info/learner/default_policy/vf_explained_var,info/learner/default_policy/kl,info/learner/default_policy/entropy,info/learner/default_policy/entropy_coeff
12123.901409358508,-3243.591831419119,5630.367740298809,4500.0,8,22600,False,474600,104,21,fc45e5b6017f4e5db8ed10f9362a3190,2024-02-08_12-50-27,1707414627,26.87705397605896,494.92423367500305,1908,Kurukshetra,192.168.68.14,494.92423367500305,474600,21,8,6106dcf6,0,473088,474600,23590.248,2.49,316.411,3.606,33.98684210526315,23.799999999999994,1.9073486612342094e-07,4.999999873689376e-05,4854.6055,-0.00012220103,4854.622,3.346767e-05,0.00022883936,1.4618917,0.01119999960064888
12123.901409358508,-3243.591831419119,5670.96712707919,4500.0,1,22600,False,497200,105,22,fc45e5b6017f4e5db8ed10f9362a3190,2024-02-08_12-50-47,1707414647,19.893217086791992,514.817450761795,1908,Kurukshetra,192.168.68.14,514.817450761795,497200,22,8,6106dcf6,0,495616,497200,22893.595,2.489,316.998,3.548,31.710714285714285,23.778571428571436,9.536743306171047e-08,4.999999873689376e-05,6220.372,-0.00026747482,6220.3877,1.8134713e-05,0.00023949193,1.4320315,0.010634999722242355
12356.778323743682,-3243.591831419119,6222.519724734029,4500.0,7,22600,False,519800,112,23,fc45e5b6017f4e5db8ed10f9362a3190,2024-02-08_12-51-13,1707414673,25.806536436080933,540.623987197876,1908,Kurukshetra,192.168.68.14,540.623987197876,519800,23,8,6106dcf6,0,518144,519800,22786.932,2.491,317.794,3.459,33.372972972972974,23.700000000000006,4.7683716530855236e-08,4.999999873689376e-05,4358.93,-0.00024375353,4358.9453,2.1472912e-05,0.00023736675,1.4728196,0.01006999984383583
12356.778323743682,-3243.591831419119,7138.520127831259,4500.0,8,22600,False,542400,120,24,fc45e5b6017f4e5db8ed10f9362a3190,2024-02-08_12-51-41,1707414701,28.39121150970459,569.0151987075806,1908,Kurukshetra,192.168.68.14,569.0151987075806,542400,24,8,6106dcf6,0,540672,542400,23950.869,2.513,317.63,3.458,32.334146341463416,23.690243902439025,2.3841858265427618e-08,4.999999873689376e-05,5677.7407,-0.00025836725,5677.756,1.4422292e-05,8.589486e-05,1.4214861,0.009999999776482582
12356.778323743682,-2792.00938489103,7272.631520742314,4500.0,1,22600,False,565000,121,25,fc45e5b6017f4e5db8ed10f9362a3190,2024-02-08_12-52-05,1707414725,23.595330238342285,592.6105289459229,1908,Kurukshetra,192.168.68.14,592.6105289459229,565000,25,8,6106dcf6,0,563200,565000,23680.09,2.517,317.248,3.435,25.612121212121213,23.6,1.1920929132713809e-08,4.999999873689376e-05,4864.8076,1.1050058e-05,4864.822,1.3507564e-05,9.249065e-05,1.4722387,0.009999999776482582
12356.778323743682,-1832.579080733476,7956.719596234785,4500.0,7,22600,False,587600,128,26,fc45e5b6017f4e5db8ed10f9362a3190,2024-02-08_12-52-31,1707414751,25.47730255126953,618.0878314971924,1908,Kurukshetra,192.168.68.14,618.0878314971924,587600,26,8,6106dcf6,0,585728,587600,23567.111,2.535,317.226,3.424,32.964864864864865,23.600000000000005,5.9604645663569045e-09,4.999999873689376e-05,4960.9673,-0.00057555025,4960.9824,1.1822378e-05,0.0001310855,1.4310917,0.009999999776482582
12356.778323743682,-1832.579080733476,8036.998454002752,4500.0,1,22600,False,610200,129,27,fc45e5b6017f4e5db8ed10f9362a3190,2024-02-08_12-52-49,1707414769,18.798540592193604,636.886372089386,1908,Kurukshetra,192.168.68.14,636.886372089386,610200,27,8,6106dcf6,0,608256,610200,23793.247,2.559,318.964,3.366,33.229629629629635,23.600000000000005,2.9802322831784522e-09,4.999999873689376e-05,5692.894,0.00014654412,5692.908,6.2337654e-06,8.317766e-05,1.3832915,0.009999999776482582
12356.778323743682,-1832.579080733476,8547.930622462818,4500.0,8,22600,False,632800,137,28,fc45e5b6017f4e5db8ed10f9362a3190,2024-02-08_12-53-18,1707414798,28.91732144355774,665.8036935329437,1908,Kurukshetra,192.168.68.14,665.8036935329437,632800,28,8,6106dcf6,0,630784,632800,24014.286,2.551,319.14,3.388,31.351219512195126,23.597560975609756,1.4901161415892261e-09,4.999999873689376e-05,4535.6294,4.933639e-05,4535.644,8.390031e-06,5.4367774e-05,1.4656535,0.009999999776482582
12356.778323743682,-1832.579080733476,8906.17238359736,4500.0,7,22600,False,655400,144,29,fc45e5b6017f4e5db8ed10f9362a3190,2024-02-08_12-53-44,1707414824,26.01667809486389,691.8203716278076,1908,Kurukshetra,192.168.68.14,691.8203716278076,655400,29,8,6106dcf6,0,653312,655400,24564.536,2.564,318.848,3.436,33.72432432432433,23.600000000000005,7.450580707946131e-10,4.999999873689376e-05,6047.3354,6.233799e-05,6047.3496,6.028197e-06,0.00010101415,1.4054657,0.009999999776482582
12356.778323743682,-1832.579080733476,8968.016508846562,4500.0,1,22600,False,678000,145,30,fc45e5b6017f4e5db8ed10f9362a3190,2024-02-08_12-54-03,1707414843,18.33031678199768,710.1506884098053,1908,Kurukshetra,192.168.68.14,710.1506884098053,678000,30,8,6106dcf6,0,675840,678000,23878.758,2.57,319.654,3.421,33.607692307692304,23.600000000000005,3.7252903539730653e-10,4.999999873689376e-05,5775.4336,-3.2567503e-05,5775.448,4.874373e-06,0.00016802757,1.4406773,0.009999999776482582
